method,sample_size,bias,irmse
CBPS,500,6.597339923411269,6.937487619908623
CBPS,1000,3.117718241076915,3.6325430599658817
CBPS,2000,4.145140808032934,4.146229609109195
CBPS,5000,4.1911631989108145,4.250618957902835
CBPS,10000,3.377831545823611,3.390869646772019
IPSW (GBM),500,9.774256463684708,9.831627086251983
IPSW (GBM),1000,10.84029303787409,10.844523380161887
IPSW (GBM),2000,6.964615584262447,6.981088185987858
IPSW (GBM),5000,6.6808288127632665,6.783022976115064
IPSW (GBM),10000,5.663808883630253,5.66433970083888
IPSW (GLM),500,6.597339923411269,6.937487619908623
IPSW (GLM),1000,3.117718241076915,3.6325430599658817
IPSW (GLM),2000,4.145140808032934,4.146229609109195
IPSW (GLM),5000,4.1911631989108145,4.250618957902835
IPSW (GLM),10000,3.377831545823611,3.390869646772019
PW (GBM),500,5.296459938257286,5.326476647044391
PW (GBM),1000,5.043394687411492,5.079390835885445
PW (GBM),2000,3.1818165324293943,3.2286275078840583
PW (GBM),5000,3.04623867935463,3.0742069541555086
PW (GBM),10000,2.785333075804118,2.816182103166929
PW (GLM),500,1.9290612597103518,2.506821306105714
PW (GLM),1000,3.304361345478526,3.809477728318812
PW (GLM),2000,2.443868321966619,2.963649249661178
PW (GLM),5000,3.0403551219884832,4.156741020377069
PW (GLM),10000,2.8676050734440963,3.5195019843310478
PW (MLP),500,7.20120107199341,7.216428736479263
PW (MLP),1000,2.9730708825573373,3.7259886220560485
PW (MLP),2000,1.5869284483950992,1.775117056003956
PW (MLP),5000,1.0539991749401594,1.3930790075079857
PW (MLP),10000,0.380394297599949,0.40078560629732896
PW (MLP) (batch: 10%),500,6.92568071490949,7.403180361682426
PW (MLP) (batch: 10%),1000,3.232472012281832,3.5251892492279895
PW (MLP) (batch: 10%),2000,5.3346411080717075,5.708630561971444
PW (MLP) (batch: 10%),5000,4.793995193544106,5.141552391453669
PW (MLP) (batch: 10%),10000,4.447694878945782,5.120588136606578
PW (MLP) (batch: 20%),500,4.277735192395397,5.605702194099228
PW (MLP) (batch: 20%),1000,3.0626556213716185,3.589767062936792
PW (MLP) (batch: 20%),2000,1.4795266919727794,1.7826150350203593
PW (MLP) (batch: 20%),5000,3.7369583614299557,3.7543021959474316
PW (MLP) (batch: 20%),10000,1.6960885550443692,1.8777584458485665
PW (MLP) (batch: 30%),500,4.086783683361091,4.113323832873127
PW (MLP) (batch: 30%),1000,4.748949163449311,5.440262836308868
PW (MLP) (batch: 30%),2000,3.3221540463426322,3.4987535120982045
PW (MLP) (batch: 30%),5000,1.6490899664479315,2.26539331818793
PW (MLP) (batch: 30%),10000,2.8905003607564055,3.026498405179169
PW (MLP) (batch: 5%),500,4.340060937086847,4.830414650800389
PW (MLP) (batch: 5%),1000,4.55495272582273,4.939804962698261
PW (MLP) (batch: 5%),2000,2.89706268067404,2.9179942294823498
PW (MLP) (batch: 5%),5000,1.7115659119108813,2.3634487625972493
PW (MLP) (batch: 5%),10000,1.781332615768008,1.7819559503732965
PW (MLP) (batch: 50%),500,8.907837361256199,9.157219782114105
PW (MLP) (batch: 50%),1000,6.227025329625619,6.391857303313397
PW (MLP) (batch: 50%),2000,1.8750773282791044,2.040399018007497
PW (MLP) (batch: 50%),5000,7.743972661167973,9.993435107903245
PW (MLP) (batch: 50%),10000,3.0091222773078243,3.064348860844827
PW (SGD),500,1.853079729631105,2.3928724908497014
PW (SGD),1000,4.245205659896371,4.452917008954525
PW (SGD),2000,1.877586908294802,2.576507015662677
PW (SGD),5000,2.812930600358655,3.737593601267104
PW (SGD),10000,2.554147873088766,3.1980153257347936
PW (SGD) (batch: 10%),500,3.295654395919115,3.7515507839495146
PW (SGD) (batch: 10%),1000,1.3198352032755878,1.6902073266129347
PW (SGD) (batch: 10%),2000,5.037154845237723,5.111285585603762
PW (SGD) (batch: 10%),5000,2.887028919074126,3.2933782664825406
PW (SGD) (batch: 10%),10000,1.205288018874029,1.4780820745782586
PW (SGD) (batch: 20%),500,4.0395770029829805,4.101359425632646
PW (SGD) (batch: 20%),1000,5.003943052729326,5.176491329575304
PW (SGD) (batch: 20%),2000,6.710868317141063,7.393839560740392
PW (SGD) (batch: 20%),5000,5.487186989504806,5.672313568433109
PW (SGD) (batch: 20%),10000,3.053419790749359,3.304447404709752
PW (SGD) (batch: 30%),500,9.218775770188202,9.977090353210787
PW (SGD) (batch: 30%),1000,4.157135491646244,5.712142644193801
PW (SGD) (batch: 30%),2000,4.214488994064837,4.215000824449698
PW (SGD) (batch: 30%),5000,6.18419830906565,6.2235489193948235
PW (SGD) (batch: 30%),10000,1.8012291355973673,2.1249628259344697
PW (SGD) (batch: 5%),500,7.826082998850339,8.090174095914126
PW (SGD) (batch: 5%),1000,20.137411410834133,20.345223890793335
PW (SGD) (batch: 5%),2000,9.869589176949262,10.133067391666478
PW (SGD) (batch: 5%),5000,4.182458504796173,4.197409692306011
PW (SGD) (batch: 5%),10000,6.372889897961684,6.397365282814289
PW (SGD) (batch: 50%),500,4.604741434023296,4.705103224628559
PW (SGD) (batch: 50%),1000,3.0734683940461167,3.4975653007337066
PW (SGD) (batch: 50%),2000,2.5032047185529365,2.8756951466923493
PW (SGD) (batch: 50%),5000,4.665071249887717,4.893125651436032
PW (SGD) (batch: 50%),10000,2.8606756478428252,2.9064630067214567
SBW,500,4.568444548104424,4.759358981460739
SBW,1000,4.379592280961688,4.667897770824086
SBW,2000,3.032480432432905,3.4676146167385036
SBW,5000,3.651206943431248,3.96051078141946
SBW,10000,3.2625893053164248,3.315693438421287
Unweighted,500,9.879996080866363,9.942813151410904
Unweighted,1000,11.735382682201163,11.736600853039509
Unweighted,2000,8.455210919653908,8.461215258274327
Unweighted,5000,9.697251241701963,9.740077744758159
Unweighted,10000,10.215896805414516,10.21749800970801
