method,method_type,coefficient,exponent,r_squared
CBPS,Other,2.2015097209937206e-12,2.697286487004227,0.9551893185318432
IPSW (GBM),Other,0.0010225600030768888,0.8524223104774169,0.9893175709615725
IPSW (GLM),Other,0.05154246935884368,-0.04191966543218557,0.0033808087599964676
PW (GBM),Other,0.00037875357579726486,1.004783449854814,0.9969938422861209
PW (GLM),Other,0.012448841107634178,0.4799977090171956,0.7943568117120823
PW (MLP),Standard PW (MLP),0.06318098572916676,0.33168475230140604,0.42501011007930867
PW (MLP) (batch: 10%),Batched PW (MLP),1.8935035577959308e-05,1.2147170247920949,0.9425262166389846
PW (MLP) (batch: 20%),Batched PW (MLP),0.0017080141933979948,0.5935480369562446,0.9390014042941746
PW (MLP) (batch: 30%),Batched PW (MLP),2.659388871158983e-11,2.7423125735291385,0.9912764364380464
PW (MLP) (batch: 5%),Batched PW (MLP),0.001409745484678359,0.7114450247674925,0.8780966369935407
PW (MLP) (batch: 50%),Batched PW (MLP),0.004049496102757723,0.5339774124827975,0.6685285127183733
PW (SGD),Standard PW (SGD),0.010035380505874802,0.26186481174651705,0.25582038296355947
PW (SGD) (batch: 10%),Batched PW (SGD),0.12447764493973465,0.1500844748581269,0.649580401690505
PW (SGD) (batch: 20%),Batched PW (SGD),0.12499509972448886,0.07204087004924684,0.4488752435703488
PW (SGD) (batch: 30%),Batched PW (SGD),0.3951984048595878,-0.09975738699540528,0.1306227258007916
PW (SGD) (batch: 5%),Batched PW (SGD),0.06088764087568156,0.2956629033521805,0.8884935138109573
PW (SGD) (batch: 50%),Batched PW (SGD),0.022607098303238978,0.21310622510228608,0.8706682250637332
SBW,Other,9.690056454032422e-05,0.6955708884721612,0.7023878813744389
Unweighted,Other,2.3601761225187135e-06,0.14928345227655027,0.6228894605950333
