method,sample_size,avg_runtime,bias,rmse
CBPS,500,0.022377967834472656,8.742996096088802,8.742996096088802
CBPS,1000,0.004336833953857422,1.2535288591302844,1.2535288591302844
CBPS,2000,0.00716710090637207,4.050126845722843,4.050126845722843
CBPS,5000,0.019459009170532227,3.4827053205731886,3.4827053205731886
CBPS,10000,0.13561224937438965,3.08076083128131,3.08076083128131
IPSW (GBM),500,0.34803199768066406,10.834823173157218,10.834823173157218
IPSW (GBM),1000,0.44997310638427734,10.537416502143259,10.537416502143259
IPSW (GBM),2000,0.5957996845245361,6.485322329576036,6.485322329576036
IPSW (GBM),5000,1.3739757537841797,5.507829635842398,5.507829635842398
IPSW (GBM),10000,2.6664891242980957,5.741353555984489,5.741353555984489
IPSW (GLM),500,0.06731700897216797,8.742996096088802,8.742996096088802
IPSW (GLM),1000,0.013952970504760742,1.2535288591302844,1.2535288591302844
IPSW (GLM),2000,0.026293039321899414,4.050126845722843,4.050126845722843
IPSW (GLM),5000,0.019242048263549805,3.4827053205731886,3.4827053205731886
IPSW (GLM),10000,0.060159921646118164,3.08076083128131,3.08076083128131
PW (GBM),500,0.3411400318145752,5.861141790227833,5.861141790227833
PW (GBM),1000,0.43436574935913086,4.43975465339571,4.43975465339571
PW (GBM),2000,0.7455179691314697,2.634021736338184,2.634021736338184
PW (GBM),5000,1.9188332557678223,2.632501679097402,2.632501679097402
PW (GBM),10000,3.9813928604125977,3.2010268272958626,3.2010268272958626
PW (GLM),500,0.38208508491516113,0.3281628503694378,0.3281628503694378
PW (GLM),1000,0.07799410820007324,1.408756782004275,1.408756782004275
PW (GLM),2000,0.6076641082763672,0.7673467742657465,0.7673467742657465
PW (GLM),5000,0.7601161003112793,0.2057940196864365,0.2057940196864365
PW (GLM),10000,1.0182790756225586,0.8270817679001823,0.8270817679001823
PW (MLP),500,0.986994743347168,6.732642826516212,6.732642826516212
PW (MLP),1000,0.523327112197876,0.7272212128374633,0.7272212128374633
PW (MLP),2000,0.4454331398010254,0.7915048743224702,0.7915048743224702
PW (MLP),5000,0.8584752082824707,1.9649079850769908,1.9649079850769908
PW (MLP),10000,1.5703649520874023,0.2541830438681245,0.2541830438681245
PW (MLP) (batch: 10%),500,0.07959890365600586,4.309954027594642,4.309954027594642
PW (MLP) (batch: 10%),1000,0.31145405769348145,1.8260282940025547,1.8260282940025547
PW (MLP) (batch: 10%),2000,0.16517996788024902,7.366897770293747,7.366897770293747
PW (MLP) (batch: 10%),5000,0.49248623847961426,2.935724201912649,2.935724201912649
PW (MLP) (batch: 10%),10000,1.3989222049713135,6.985101651332798,6.985101651332798
PW (MLP) (batch: 20%),500,0.09292793273925781,0.6549077451284404,0.6549077451284404
PW (MLP) (batch: 20%),1000,0.10529303550720215,4.935238893492425,4.935238893492425
PW (MLP) (batch: 20%),2000,0.17362403869628906,2.473869254081393,2.473869254081393
PW (MLP) (batch: 20%),5000,0.21356201171875,4.097412496424198,4.097412496424198
PW (MLP) (batch: 20%),10000,0.4286181926727295,2.5018555154014734,2.5018555154014734
PW (MLP) (batch: 30%),500,0.08736705780029297,3.6202731481149613,3.6202731481149613
PW (MLP) (batch: 30%),1000,0.11603975296020508,2.0949066673506707,2.0949066673506707
PW (MLP) (batch: 30%),2000,0.15873098373413086,2.224625627216824,2.224625627216824
PW (MLP) (batch: 30%),5000,0.34087610244750977,0.09586455825655094,0.09586455825655094
PW (MLP) (batch: 30%),10000,2.480213165283203,1.99344949206548,1.99344949206548
PW (MLP) (batch: 5%),500,0.08164310455322266,2.219500454327658,2.219500454327658
PW (MLP) (batch: 5%),1000,0.38164210319519043,2.64338825267032,2.64338825267032
PW (MLP) (batch: 5%),2000,0.29787206649780273,3.245943960679199,3.245943960679199
